baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000035852.11	755.142235730126	8.82537719728941	0.472998561271934	18.6583594959723	1.07996094496523e-77	1.64265236084932e-75
ENSMUSG00000036473.16	1493.58621244792	1.85080159577555	0.0993716282768963	18.6250505085651	2.01302357303186e-77	3.03951865925087e-75
ENSMUSG00000027544.16	366.345085661913	7.0962052299848	0.382722339988235	18.5413927762956	9.57106161939615e-77	1.43468826564369e-74
ENSMUSG00000031298.15	1967.51988046363	-1.95189900859236	0.105466287899328	-18.5073263454151	1.80226876314584e-76	2.6821389665061e-74
ENSMUSG00000026450.14	354.244046170751	7.04768318338976	0.381753076485214	18.4613657819801	4.22521171151032e-76	6.24305210459303e-74
ENSMUSG00000028111.4	1432.80493899328	-1.7243487378819	0.0936343437972654	-18.4157721189932	9.8179237087513e-76	1.4403799279378e-73
ENSMUSG00000023092.16	1690.75082687616	-1.72110015721117	0.0935673967267269	-18.3942293728425	1.46123578178728e-75	2.12867066070786e-73
ENSMUSG00000047501.3	1465.34338517501	10.2983541522784	0.560689441362185	18.3673053076562	2.40037201540561e-75	3.47231437137626e-73
ENSMUSG00000087166.9	1521.64198927527	10.3511834883779	0.563645629361879	18.3647010624331	2.51832570095407e-75	3.61764482291221e-73
ENSMUSG00000020782.18	792.451756810947	3.31661792275947	0.180765086584341	18.3476687087582	3.44583330288369e-75	4.91589708299669e-73
ENSMUSG00000006342.15	314.484890239279	3.44889705324833	0.188746997155821	18.2725929695246	1.36793651391862e-74	1.93815991280278e-72
ENSMUSG00000033361.13	581.561263837563	2.41391941131415	0.132184899002941	18.2616882073681	1.67045437227538e-74	2.35068157448221e-72
ENSMUSG00000039621.13	359.967783392647	3.67961615268226	0.202489091521322	18.1719228677303	8.61264753053415e-74	1.20379207308533e-71
ENSMUSG00000014846.12	534.483286929095	3.64948456960001	0.20094106579213	18.1619648289082	1.03261939219324e-73	1.43360837227579e-71
ENSMUSG00000031803.8	247.903337755234	5.608797941059	0.309861706563655	18.1009715697373	3.13096041579157e-73	4.31780314407096e-71
ENSMUSG00000000120.6	240.809097334918	5.29597237035809	0.29283166386898	18.0853815478358	4.15482074304304e-73	5.69182926427737e-71
ENSMUSG00000051375.15	328.557200703507	2.84344994165516	0.157835944646501	18.0152242762162	1.47980077067024e-72	2.01389202250557e-70
ENSMUSG00000028581.17	347.501982078087	7.11314646866697	0.395179705644405	17.999776727066	1.95605920980807e-72	2.64464319046339e-70
ENSMUSG00000024529.14	35327.6038897745	-1.57639944293282	0.0879344662590989	-17.9269802842489	7.2618139886932e-72	9.754408062994e-70
